112.63955,0.677482479432,0,4.0,0.241,124.078,0.0,7.0,0.749,1.0,0.622,104.049
153.59955,0.482492330521,1974,4.0,0.62,102.687,0.0,0.0,0.0,1.0,0.0,147.249
358.24281,0.417718449728,1976,7.0,0.392,192.975,0.0,4.0,0.745,0.0,0.724,348.944
266.34404,0.509058250572,2002,1.0,1.0,108.12,0.0,10.0,0.068,1.0,0.142,255.211
141.42649,0.451749209962,0,1.0,0.0,143.902,0.0,0.0,0.79,1.0,0.685,138.374
190.53669,0.436974460003,0,5.0,0.562,149.588,0.0,2.0,0.252,0.0,0.425,180.907
246.83057,0.412069262788,2006,4.0,0.785,126.029,0.0,0.0,0.269,0.0,0.408,233.54
171.17995,0.499641496361,2002,4.0,1.0,123.202,0.0,1.0,0.076,1.0,0.528,159.068
221.20444,0.498077454008,2008,4.0,0.333,112.475,0.0,0.0,0.588,1.0,0.42,199.001
311.92771,1.00529834361,2007,5.0,1.0,138.52,0.0,1.0,0.442,1.0,0.315,307.792
201.63873,0.694128502959,2005,4.0,0.277,121.868,0.0,1.0,0.051,1.0,0.453,184.314
199.96689,0.572828600239,2006,4.0,0.704,160.434,0.0,8.0,0.062,1.0,0.166,190.166
235.28444,0.550762084656,1999,4.0,0.764,136.099,0.0,6.0,0.699,0.0,0.855,229.593
231.36608,0.524063332776,2007,3.0,0.377,169.836,0.0,7.0,0.376,1.0,0.536,223.875
263.33995,0.838447767795,2008,4.0,0.899,98.981,0.0,8.0,0.0,1.0,0.205,256.76
224.39138,0.498077454008,2008,4.0,0.854,107.978,0.0,3.0,0.279,1.0,0.261,222.203
196.33587,0.509058250572,2002,5.0,1.0,134.044,0.0,1.0,0.718,1.0,0.61,184.517
197.90322,0.423524794795,1993,4.0,0.0,153.52,0.0,9.0,0.051,0.0,0.451,197.903
325.69424,0.509058250572,2002,4.0,1.0,117.192,0.0,11.0,1.0,1.0,0.972,310.741
189.80526,0.540630686225,1989,4.0,0.634,114.68,0.0,11.0,0.438,1.0,0.399,185.882
188.47302,0.509058250572,2005,4.0,0.156,136.791,0.0,11.0,0.719,1.0,0.676,183.931
256.46975,0.550762084656,1999,4.0,0.377,134.958,0.0,7.0,0.437,1.0,0.381,249.922
655.77751,0.848826278193,0,4.0,0.921,149.92,0.0,8.0,0.395,0.0,0.494,633.603
163.26485,0.423524794795,1993,3.0,0.998,245.306,0.0,4.0,0.074,0.0,0.307,157.129
254.14485,0.427138177572,0,4.0,0.778,122.844,0.0,0.0,0.428,1.0,0.488,241.424
258.87302,0.509058250572,2004,4.0,0.765,123.711,0.0,1.0,0.58,0.0,0.802,244.651
245.83791,0.499641496361,2007,4.0,0.17,128.408,0.0,1.0,0.471,0.0,0.468,238.713
251.74159,0.561861499693,2002,4.0,1.0,152.338,0.0,9.0,0.788,1.0,0.61,240.646
318.79791,0.332759287961,0,7.0,0.875,88.47,0.0,1.0,0.0,1.0,0.0,307.264
143.12444,0.509058250572,0,4.0,0.367,129.986,0.0,7.0,0.236,0.0,0.486,134.409
262.19057,0.509058250572,2007,1.0,0.0,131.913,0.0,7.0,0.547,1.0,0.622,249.284
255.68608,0.498077454008,2008,4.0,0.601,137.965,0.0,11.0,0.034,0.0,0.329,246.358
249.20771,0.677482479432,2007,4.0,0.12,125.056,0.0,7.0,0.729,1.0,0.636,237.72
343.71873,0.461043024237,0,4.0,0.0,109.931,0.0,0.0,0.243,1.0,0.263,333.984
321.54077,0.523761161824,1989,4.0,0.135,133.908,0.0,8.0,0.045,0.0,0.366,314.491
